Area,Item,Year,Production in tonnes 
Nigeria,Bastfibres  ,1981,530
Nigeria,Bastfibres  ,1982,500
Nigeria,Bastfibres  ,1983,500
Nigeria,Bastfibres  ,1984,550
Nigeria,Bastfibres  ,1985,600
Nigeria,Bastfibres  ,1986,700
Nigeria,Bastfibres  ,1987,840
Nigeria,Bastfibres  ,1988,850
Nigeria,Bastfibres  ,1989,860
Nigeria,Bastfibres  ,1990,870
Nigeria,Bastfibres  ,1991,880
Nigeria,Bastfibres  ,1992,890
Nigeria,Bastfibres  ,1993,900
Nigeria,Bastfibres  ,1994,944
Nigeria,Bastfibres  ,1995,971
Nigeria,Bastfibres  ,1996,998
Nigeria,Bastfibres  ,1997,1024
Nigeria,Bastfibres  ,1998,1049
Nigeria,Bastfibres  ,1999,1074
Nigeria,Bastfibres  ,2000,1099
Nigeria,Bastfibres  ,2001,1124
Nigeria,Bastfibres  ,2002,1148
Nigeria,Bastfibres  ,2003,1171
Nigeria,Bastfibres  ,2004,1195
Nigeria,Bastfibres  ,2005,1219
Nigeria,Bastfibres  ,2006,1243
Nigeria,Bastfibres  ,2007,1266
Nigeria,Bastfibres  ,2008,1288
Nigeria,Bastfibres  ,2009,1310
Nigeria,Bastfibres  ,2010,1331
Nigeria,Bastfibres  ,2011,1351
Nigeria,Bastfibres  ,2012,1390
Nigeria,Bastfibres  ,2013,1390
Nigeria,Bastfibres  ,2014,1418
Nigeria,Bastfibres  ,2015,1451
Nigeria,Bastfibres  ,2016,1473
Nigeria,Bastfibres  ,2017,1496
Nigeria,Bastfibres  ,2018,1519
Nigeria,Bastfibres  ,2019,1542
Nigeria,Carrots and turnips,1961,150000
Nigeria,Carrots and turnips,1962,150000
Nigeria,Carrots and turnips,1963,150000
Nigeria,Carrots and turnips,1964,150000
Nigeria,Carrots and turnips,1965,150000
Nigeria,Carrots and turnips,1966,150000
Nigeria,Carrots and turnips,1967,150000
Nigeria,Carrots and turnips,1968,150000
Nigeria,Carrots and turnips,1969,150000
Nigeria,Carrots and turnips,1970,150000
Nigeria,Carrots and turnips,1971,150000
Nigeria,Carrots and turnips,1972,150000
Nigeria,Carrots and turnips,1973,150000
Nigeria,Carrots and turnips,1974,150000
Nigeria,Carrots and turnips,1975,150000
Nigeria,Carrots and turnips,1976,150000
Nigeria,Carrots and turnips,1977,150000
Nigeria,Carrots and turnips,1978,150000
Nigeria,Carrots and turnips,1979,150000
Nigeria,Carrots and turnips,1980,150000
Nigeria,Carrots and turnips,1981,150000
Nigeria,Carrots and turnips,1982,150000
Nigeria,Carrots and turnips,1983,150000
Nigeria,Carrots and turnips,1984,150000
Nigeria,Carrots and turnips,1985,150000
Nigeria,Carrots and turnips,1986,150000
Nigeria,Carrots and turnips,1987,150000
Nigeria,Carrots and turnips,1988,150000
Nigeria,Carrots and turnips,1989,166000
Nigeria,Carrots and turnips,1990,173000
Nigeria,Carrots and turnips,1991,175000
Nigeria,Carrots and turnips,1992,166662
Nigeria,Carrots and turnips,1993,139000
Nigeria,Carrots and turnips,1994,193000
Nigeria,Carrots and turnips,1995,198000
Nigeria,Carrots and turnips,1996,203000
Nigeria,Carrots and turnips,1997,210000
Nigeria,Carrots and turnips,1998,225000
Nigeria,Carrots and turnips,1999,231000
Nigeria,Carrots and turnips,2000,225440
Nigeria,Carrots and turnips,2001,227745
Nigeria,Carrots and turnips,2002,235000
Nigeria,Carrots and turnips,2003,232121
Nigeria,Carrots and turnips,2004,234008
Nigeria,Carrots and turnips,2005,237500
Nigeria,Carrots and turnips,2006,240000
Nigeria,Carrots and turnips,2007,243000
Nigeria,Carrots and turnips,2008,240000
Nigeria,Carrots and turnips,2009,231642
Nigeria,Carrots and turnips,2010,219911
Nigeria,Carrots and turnips,2011,217848
Nigeria,Carrots and turnips,2012,227128
Nigeria,Carrots and turnips,2013,227694
Nigeria,Carrots and turnips,2014,232574
Nigeria,Carrots and turnips,2015,233850
Nigeria,Carrots and turnips,2016,232815
Nigeria,Carrots and turnips,2017,233244
Nigeria,Carrots and turnips,2018,233673
Nigeria,Carrots and turnips,2019,234102
Nigeria,Cashew nuts  with shell,1961,7000
Nigeria,Cashew nuts  with shell,1962,14000
Nigeria,Cashew nuts  with shell,1963,15000
Nigeria,Cashew nuts  with shell,1964,19000
Nigeria,Cashew nuts  with shell,1965,22000
Nigeria,Cashew nuts  with shell,1966,23000
Nigeria,Cashew nuts  with shell,1967,24000
Nigeria,Cashew nuts  with shell,1968,25000
Nigeria,Cashew nuts  with shell,1969,25000
Nigeria,Cashew nuts  with shell,1970,25000
Nigeria,Cashew nuts  with shell,1971,25000
Nigeria,Cashew nuts  with shell,1972,25000
Nigeria,Cashew nuts  with shell,1973,25000
Nigeria,Cashew nuts  with shell,1974,25000
Nigeria,Cashew nuts  with shell,1975,25000
Nigeria,Cashew nuts  with shell,1976,25000
Nigeria,Cashew nuts  with shell,1977,25000
Nigeria,Cashew nuts  with shell,1978,25000
Nigeria,Cashew nuts  with shell,1979,25000
Nigeria,Cashew nuts  with shell,1980,25000
Nigeria,Cashew nuts  with shell,1981,25000
Nigeria,Cashew nuts  with shell,1982,25000
Nigeria,Cashew nuts  with shell,1983,25000
Nigeria,Cashew nuts  with shell,1984,25000
Nigeria,Cashew nuts  with shell,1985,25000
Nigeria,Cashew nuts  with shell,1986,25000
Nigeria,Cashew nuts  with shell,1987,25000
Nigeria,Cashew nuts  with shell,1988,25000
Nigeria,Cashew nuts  with shell,1989,25000
Nigeria,Cashew nuts  with shell,1990,30000
Nigeria,Cashew nuts  with shell,1991,45000
Nigeria,Cashew nuts  with shell,1992,55000
Nigeria,Cashew nuts  with shell,1993,75000
Nigeria,Cashew nuts  with shell,1994,85000
Nigeria,Cashew nuts  with shell,1995,95000
Nigeria,Cashew nuts  with shell,1996,110000
